body,title
"“Hay sulfuros exóticos detectados como minerales de meteoritos, que no tienen ocurrencia natural en la Tierra”. El hallazgo lo reporta un científico venezolano de la UCV, Pierre Embaid, en su revisión crítica de la literatura experimental, sobre el significado de nuevos compuestos en la ciencia planetaria,(1). El asunto es interesante por “las propiedades de estos minerales, y su comportamiento magnético como superconductores a altas temperaturas en presencia de elementos menores y trazas.”El revuelo internacional resultante lo explicó The Daily Beast: “Las señales de esa tecnología podrían venir de muchas formas diferentes, tales como la contaminación de fábricas alienígenas, o estructuras habitables gigantes de estrellas enteras, o por la radiación de motores de naves espaciales de alta tecnología pertenecientes a otras especies inteligentes, solo por nombrar algunas posibilidades.”(2)En una entrevista con este cronista, el Dr. Embaid explicó cómo uno de tales sulfuros se sintetizó en 1968 y luego, en 1974, se detectó como el mineral Hedeíta en el meteorito Bustee, y en 1995 en el meteorito Kaidun. Con mucho orgullo, nuestro amigo Pierre, también anota que su anterior publicación de 2019 sobre la muestra de uno de esos minerales, cuya fórmula química corresponde a FeTi2S4, es la ficha de referencia de la base de datos mundial de difracción de rayos X, por ser aquella de” alta precisión en el tratamiento de refinación de la estructura cristalográfica”. No está demás mencionar que es la primera Ficha hecha en Venezuela incluida en esta base de datos mundial.Las especulaciones sobre estos minerales raros tomarán su tiempo y mayor diversidad, más aún con el reciente reporte canadiense de otros dos minerales nuevos, Elaliita, y Elkinstantonita en un meteorito de Somalia. Mientras tanto, la revisión de Pierre Embaid demuestra cómo la universidad venezolana sigue ofreciendo una ventana al más amplio espectro de la ciencia sin fronteras.@rrangelaldao1 https://arxiv.org/ftp/arxiv/papers/2209/2209.05679.pdf2 Exotic Meteorite Chemistry Could Be Sign of Alien Technology (thedailybeast.com)",¿Qué reportó Pierre?
"El subsecretario del Interior chileno, Manuel Monsalve, afirmó este sábado que el Gobierno debe ""ocupar todos los recursos disponibles para garantizar el control de las fronteras, de las rutas y la lucha contra el crimen organizado”, en el marco de su visita a la región limítrofe de Arica y Parinacota, en la zona norte.Según Monsalve, la instrucción del jefe de Estado, Gabriel Boric, es ""fortalecer el control de las fronteras, y fortalecer la lucha del Estado en contra de organizaciones criminales que cooperan para ingresar drogas, armas y también para traficar migrantes y para dedicarse a la trata de personas”.“Esto implica evaluar si es necesario colocar más puntos de control fronterizo, si es necesario fortalecer los puntos de control fronterizo que existen, si es necesario poder establecer puntos de control en las rutas de las fronteras a las ciudades en el norte del país, e identificar nuevas formas de contribuir con la labor que hace el Ministerio Público en materia de persecución penal”, afirmó el subsecretario.La visita de la autoridad se da 10 días después de que una turba de 100 personas intentara ingresar por el paso fronterizo de Chachalluta desde Perú, situación que activó los protocolos vigentes según la Ley de Migraciones, iniciando el registro de autodenuncias y reconducción de personas dependiendo de cada caso.En total hay 1,4 millones de migrantes en el país latinoamericano, lo que equivale a más del 7% de la población, y los venezolanos son los más numerosos, seguidos de peruanos, haitianos y colombianos. Con información de Efe","Gobierno chileno usará ""recursos disponibles para el control de fronteras"""
"La Fundación Venezolana contra la Parálisis Infantil está organizando un torneo de golf el próximo 8 de diciembre en la cancha del Caracas Country Club, como parte de las actividades para conmemorar ocho décadas de labores ininterrumpidas, que le han permitido liderar la actividad del Hospital Ortopédico Infantil para cumplir su razón de ser: apoyar a niños y jóvenes, de escasos recursos económicos, con afecciones en el sistema locomotor y neuromuscular.Desde su fundación hasta la presente fecha, el Hospital ha brindado atención médica a más de siete millones de pacientes, lo cual ha sido posible gracias al apoyo de personas, empresas e instituciones que identificadas con nuestra misión han contribuido en hacer realidad este logro.En esta ocasión, el Grupo NSM, constituido por los centros comerciales El Recreo, Galerías El Recreo y Recreo La Castellana, se convierte en aliado de la Fundación como patrocinador oficial, además de otra serie de empresas y marcas que solidarias con la labor de la Fundación participan como copatrocinadores.Buen augurio destaca la excelente receptividad de los golfistas tanto de la capital como del interior del país y su particular sensibilidad social al participar en este ya tradicional encuentro de golf destinado a generar recursos para esta gran obra que inició Don Eugenio Mendoza, la Fundación Venezolana contra la Parálisis Infantil.Especial agradecimiento merece el Caracas Country Club que consecuentemente apoya a la Fundación y a su equipo humano que hace posible la realización de este Torneo. Los fondos recaudados serán destinados al financiamiento de las intervenciones quirúrgicas de pacientes, entre 0 y 16 años, carentes de recursos, con problemas músculo-esqueléticos, en sintonía con la misión del Hospital.",LA SOLIDARIDAD CONMEMORA OCHO DÉCADAS
"Caracas.- Durante la temporada de navidad, las 24 horas del día, setenta funcionarios de la Guardia Nacional Bolivariana (GNB) se mantendrán en la autopista Caracas – La Guaira, con el fin de brindar el servicio de seguridad vial a la ciudadanía.Las acciones estarán a cargo de la Unidad de Seguridad Vial del Comando de Zona N 45 de la Guardia Nacional Bolivariana, con disposición de más de quince unidades vehiculares (motos y carros), así como la Unidad Canina Antidroga y otros servicios de resguardo.El reporte de la GNB indica que durante este año 2022 se han registrado unas noventa incidencias viales, siendo las más frecuentes fallas mecánicas de vehículos, conductores bajo el efecto del alcohol, así como incumplimientos de normas de viales y se registraron diez decesos.Se dispone de más de veinte puntos de Atención y Asistencial Vial en la autopista, para disminuir las incidencias viales en comparación con el año 2021.El componente castrense incorporará un canino especializado en materia antidrogas y dos reductores de velocidad en el punto principal instalado a la altura de la sede de emergencias 171.Asimismo, 15 vehículos están dispuestos para prestar auxilio vial, y son seis los puntos de atención incorporados desde el distribuidor, el trébol hasta Ciudad Caribia en el kilómetro 16, donde se incorpora otra contingente de la Guardia Nacional Bolivariana.Por otra parte, los efectivos militares recordaron los límites de velocidad para los vehículos de carga pesada, los 60 kilómetros por hora al transitar en el canal lento y los vehículos particulares no deben superar los 80 kilómetros por hora en el canal rápido.Finalmente, llamaron a  hacer uso del cinturón de seguridad, respetar las señales de tránsito y no conducir bajo los efectos del alcohol.Con información de Últimas Noticias",GNB fortalece medidas de seguridad en autopista Caracas–La Guaira
"El capitán de Portugal, el experimentado central Pepe, cuestionó el arbitraje del argentino Facundo Tello tras la eliminación este sábado de su equipo en cuartos de final del Mundial de Catar a manos del sorprendente Marruecos (1-0).""Es inadmisible que un árbitro argentino nos pitara hoy luego de lo que sucedió ayer con Messi y Argentina hablando"" del juez, dijo el zaguero, de 39 años, a la televisión al término del juego disputado en el estadio Al Thumama.""No digo que hubiera venido condicionado, ¿pero cuánto jugamos en la segunda parte? Nada. El portero de ellos siempre parado y (el colegiado) solo dio ocho minutos de tiempo añadido"", agregó.El capitán argentino, Lionel Messi, cuestionó con dureza la actuación del central español Mateu Lahoz durante el choque contra Países Bajos el viernes, que terminó con la clasificación a semifinales de la Albiceleste en penales (2-2, 4-3).""La FIFA tiene que revisar eso, no puede poner un árbitro así para un partido de esta trascendencia, que no está a la altura"", afirmó La Pulga.Pepe consideró que Tello no repuso lo adecuado en la segunda parte, en la que, aseguró, Marruecos se dedicó a impedir que el Portugal de Cristiano Ronaldo desarrollara su juego.¿Cómo va a dar ocho minutos cuando no jugamos nada? El único equipo que quería jugar fútbol era el nuestro, Portugal"", sostuvo. ""Siento rabia, ni jugaron ni dejaron jugar en la segunda parte"".""Estamos tristes, teníamos la calidad para poder ganar el campeonato mundial, pero lamentablemente no lo conseguimos"", apuntó.El atacante marroquí Youssef En-Nesyri, en el minuto 42, selló la primera participación de un equipo africano en las semifinales de la Copa del Mundo.El sorprendente Marruecos ahora luchará por un pase a la final con el ganador entre Inglaterra y la campeona defensora Francia, que juegan a las 19H00 GMT.",Pepe cuestiona el arbitraje tras eliminación de Portugal
"Militares de Venezuela detuvieron a ocho hombres por narcotráfico en distintos operativos efectuados en el oeste del país, así informó el viernes el comandante estratégico operacional de la Fuerza Armada Nacional Bolivariana (FANB), Domingo Hernández Lárez.En el estado Táchira, fronterizo con Colombia, efectivos de la institución militar detuvieron a dos sujetos que intentaban ingresar al país caribeño con más de 42 kilos de marihuana, alijo que fue incautado por las autoridades, aseguró el funcionario en su cuenta de Twitter.En labores de patrullaje OSC del estado Táchira incautan alijo de más de 42 Kg de marihuana, que intentaban introducir 2 ciudadanos al país, a través de las trochas y caminos verdes. Venezuela en la lucha contra el narcotráfico ! pic.twitter.com/g5sf3airYi— GJ. Domingo Hernández Lárez (@dhernandezlarez) December 9, 2022Otros dos hombres fueron capturados por la FANB en un Puesto de Atención al Ciudadano (PAC) de la región petrolera de Zulia, también limítrofe con la nación andina, mientras intentaban entrar al territorio con una droga cuyo tipo y peso no fue especificado por las autoridades.FANB desplegada en el estado Zulia, en labores de patrullaje y escudriñamiento contra los invasores narcotraficantes que pretenden usar nuestro Territorio Nacional como plataforma para extraer sus productos que dañan la humanidad. pic.twitter.com/bG4OwNxL71— GJ. Domingo Hernández Lárez (@dhernandezlarez) December 9, 2022Los detenidos trabajaban para los grupos denominados ""tancol"", un acrónimo inventado por el Gobierno venezolano que no hace referencia a ninguna banda en específico y que significa ""terroristas armados narcotraficantes colombianos"".Mientras, en el estado Cojedes, militares detuvieron a cuatro sujetos que transportaban, ""en un vehículo particular, una panela de marihuana"".""Venezuela (está) en la lucha contra el narcotráfico. Esas no son costumbres de nuestro país"", expresó Hernández Lárez en la red social, donde compartió imágenes de las incautaciones y los detenidos.Las autoridades han detenido a un total de 8.830 personas por tráfico de drogas de enero a principios de diciembre, dijo el pasado sábado el superintendente nacional antidrogas, Richard López Vargas.Con información de Efe",Militares venezolanos detienen a ocho hombres por narcotráfico
"Caracas.- Ian Carlos Torres Parra como nuevo embajador de Venezuela ante el Vaticano presentó las Cartas Credenciales al Papa Francisco.El nuevo representante de Venezuela en la Santa Sede es teólogo y biblista, profesor universitario de gran prestigio. Obtuvo la Licenciatura en Filosofía en la Universidad Católica “Cecilio Acosta” (Maracaibo, 1999); realizó el Bachillerato en Teología en la Pontificia Universidad Gregoriana (Roma, 2004) y en la misma PUG también la Licenciatura en Teología Bíblica y Doctorado en Teología Bíblica concluyendo sus estudios en 2017.También obtuvo las siguientes maestrías: en Acción Política y Participación Ciudadana en el Estado de Derecho, en la Universidad “Francisco de Vitoria” (Madrid 2001); Experto en Promoción y Gestión de Organizaciones No Gubernamentales (ONG), en la Universidad Complutense (Madrid, 2001); Curso para Diplomáticos, en la Fundación Gregoriana y el Instituto Internacional Jacques Maritain (Roma – Turín, 2010), reseña Agencias Internacionales.Torres Parra ha ejercido los siguientes cargos: Secretario, Ministro Consejero y Encargado de Negocios en la Embajada en Italia (2008-2010); Ministro Consejero y Encargado de Negocios en la Embajada en Colombia (2010-2018); profesor de teología bíblica en la Universidad Javeriana de Bogotá (2013-2014); profesor de teología bíblica en la Universidad San Bonaventura de Bogotá (2013-2017); profesor de teología bíblica en la Universidad Católica «Cecilio Acosta» de Maracaibo (2021-2022); Vicerrector de Investigación y Jefe del Programa de Doctorado en Teología de la Universidad Católica de Santa Rosa de Caracas (2020-2022).Papa Francisco recibe al nuevo Embajador de Venezuela ante la Santa Sede, Dr. Ian Carlos Torres Parra. Un nuevo inicio en el fortalecimiento de las relaciones históricas y amistosas entre ambos Estados 🇻🇪🤝🇻🇦@NicolasMaduro @delcyrodriguezv @CancilleriaVE @Fariacrt pic.twitter.com/P3eC0QBXhL— @EmbaVESantaSede (@EmbaVESantaSede) December 9, 2022",Ian Carlos Torres presenta cartas credenciales en el Vaticano
"Caracas.- Este sábado 10 de diciembre finalizaron los encuentros de los cuartos de final y quedaron definidas las cuatro selecciones clasificadas a las semifinales, que jugarán los siete partidos hasta que se acabe el Mundial Qatar 2022.La Confederación Sudamericana de Fútbol, más conocida como Conmebol, a través de twitter reveló el cuadro clasificación rumbo a la semifinal. 🏆🔝 ¡Las semifinales definidas!🇦🇷 Los cuatro equipos que quedan en carrera en la #FIFAWorldCup, con @Argentina buscando un lugar en la definición.#CreeEnTuContinente pic.twitter.com/Lu4cjeJOPj— CONMEBOL.com (@CONMEBOL) December 10, 2022Los perdedores de esta serie se disputarán la llave por el tercer y cuarto lugar. Las semifinales se disputarán entre el martes 13 y miércoles 14 de diciembre. El horario será para los dos partidos a las 2:00 p.m., hora colombiana, por lo que los encuentros para toda Latinoamérica serán por la tarde. Cabe recordar que el primer clasificado a las semifinales fue Croacia, el actual subcampeón del mundo que eliminó a la favorita Brasil en cuartos de final, después de empatar sobre el final el partido que iba perdiendo 1-0. La serie se definió desde la tanda de los penales y allí el arquero fue la gran figura. El segundo cupo fue para Argentina, que en un partido memorable eliminó a Países Bajos en una definición dramática. La albiceleste tenía el resultado controlado y sobre el final del encuentro el elenco europeo logró empatar para llevar la serie a puntos de penal. Allí, el ‘Dibu’ Martínez se agigantó en su arco y fue el héroe de la clasificación. El tercer puesto fue para Marruecos, el que dio la sorpresa de la jornada. El equipo africano eliminó sorpresivamente a Portugal 1-0 quedando en el marcador, con su máxima estrella Cristiano Ronaldo que se retiró llorando del estadio. El resultado fue histórico para esa selección que por primera vez clasificó a unas semifinales de un Mundial.Finalmente, el último cupo fue para Francia, que derrotó a Inglaterra 2-1 en un partido emblemático.",Qatar 2022: Argentina y Marruecos se verán las caras contra dos grandes de Europa en semifinales
"Londres.- El rey Carlos III visitará el Parlamento británico el próximo miércoles, según anunció hoy el presidente de la Cámara de los Comunes (baja), Lindsay Hoyle, al abrir la sesión semanal de preguntas al primer ministro, el conservador Rishi Sunak.""Su Majestad, el Rey, visitará el Parlamento el próximo miércoles y entre las 15.15 y 15.45 GMT ambas Cámaras (Comunes y Lores) estarán temporalmente suspendidas"", avisó Hoyle en una declaración leída al comienzo de la sesión parlamentaria de hoy.El presidente de los Comunes explicó que el monarca británico ""desvelará una placa en Westminster Hall"" y después se hará público un obsequio de los miembros de ambas cámaras con motivo del Jubileo de Platino (los 70 años en el trono de la fallecida Isabel II).Carlos III se convirtió en el nuevo soberano británico al fallecer su madre, la reina Isabel II, el pasado 8 de septiembre a los 96 años. Con información de EFE",El rey Carlos III visitará el Parlamento británico el próximo miércoles
"Bad Bunny, el artista latino del momento, despidió su “World Hottest Tour” con un par de conciertos este fin de semana en el Estadio Azteca de Ciudad de México, que abarrotó tras una gira por 14 países, 43 fechas y más de 30 sedes en Estados Unidos y Latinoamérica.Con un escenario que simulaba ser una playa con palmeras, el cantante boricua inició su espectáculo del viernes a las 22.00 horas GMT (03.00 GMT) con la canción “Moscow Mule”, coreada por un recinto con capacidad para alrededor de 87.000 personas.La euforia prosiguió con dos de sus más grandes éxitos: “Me porto bonito” y “Un ratito”.“Bienvenidos al tour más caliente del mundo entero”, expresó al inicio. “Lo único que les voy a pedir es que disfruten, que brinquen, que bailen, hagan lo que quieran. Esta es su casa”.De ahí siguieron otras melodías populares como “Efecto”, “Tarot”, “La corriente”, “Neverita”, y “Ni bien ni mal”.Entre las más provocadoras estuvieron “Yo perreo sola”, “Titi me preguntó” y “Callaíta”, la más coreada y bailada de la noche.“Es un honor estar en esta arena con tanta gente súper cabrona que me quiere de verdad, así que gracias, México”, comentó el cantante, quien ofreció un espectáculo de cerca de tres horas.Un espectáculo históricoEl show en la capital mexicana adquirió especial significado porque horas antes el puertorriqueño, cuyo nombre real es Benito Antonio Martínez Ocasio, anunció que pausaría su carrera en 2023.El “World Hottest Tour” es la cuarta gira internacional en el historial del cantante de 28 años, quien este 2022 hizo historia al convertirse en el primer artista nominado tanto para el Latin Grammy como para el Grammy original por su álbum “Un verano sin ti”, motivo del tour.La gira es la de mayores ingresos en la historia para un artista latino, con más de 232,5 millones de dólares en ganancias hasta octubre pasado, según Billboard.Además de Estados Unidos, el artista pasó por República Dominicana, Chile, Argentina, Paraguay, Perú, Ecuador, Colombia, Panamá, Costa Rica, El Salvador, Honduras y Guatemala.Mientras que “Un verano sin ti” debutó en la cima de la lista de los mejores 200 de Billboard Estados Unidos, por lo que es el segundo disco de Bad Bunny y el segundo en español en general en encabezar la lista.Fiesta dentro, caos fueraEn contraste con la fiesta dentro del Azteca, el caos marcó las afueras del concierto, con decenas de miles de fanáticos que buscaban un boleto de reventa, que armaron fiestas alternas ante la imposibilidad de entrar o que hicieron fila desde doce horas antes para conseguir buen lugar.Asistentes denunciaron la venta de entradas clonadas, mientras que otros protestaron porque los billetes que adquirieron en preventa no resultaron válidos.“La Profeco (Procuraduría Federal del Consumidor) ya solicitó un informe a Ticketmaster sobre el problema con los boletos de acceso al concierto de Bad Bunny en el Estadio Azteca”, escribió en sus redes el procurador del consumidor, Ricardo Sheffield.Además, los embotellamientos provocaron trayectos de más de dos hora para llegar y salir del recinto, ubicado en el sur de Ciudad de México. Con información de Efe",Bad Bunny despide su “tour más caliente” en el Azteca de México
