uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
a53715048252b9fda382d3e1c3e6331b,"Lo prometimos y lo cumplimos. Desde que llegamos a Chacao nos comprometimos a trabajar por reforzar el orden y seguridad en el municipio. Durante esta semana inauguramos la sede del Centro Integral de Seguridad Ciudadana junto a vecinos y el equipo de la Alcaldía de Chacao, una instalación innovadora con el sistema de cámaras de seguridad más moderno del país. Nuestros vecinos y visitantes se pueden sentir más seguros porque ahora contamos con más de 100 cámaras y los mejores operadores en una sala situacional para atender cualquier contingencia en el municipio. Esta sede cuenta con funcionarios de seguridad ciudadana, PoliChacao, Protección Civil y de Salud Chacao, de manera de centralizar todas las atenciones en un solo lugar.Esta es una sala situacional, totalmente nueva, con tecnología de punta, que aparte de las bondades de la cámaras y el zoom que puedan tener también cuenta con detección facial y de placas. Una innovación que tenemos en Venezuela y que ponemos a la orden de todas las instancias del país. Este edificio es completamente sustentable a nivel energético, ya que está dotado de paneles solares; también cuenta con una cuadra de descanso para los funcionarios que trabajan acá, reivindicando la seguridad en el municipio y de los servidores públicos. En Chacao, hemos logrado la reducción de los delitos en la jurisdicción, gracias al trabajo mancomunado con otros entes de seguridad nacional, estadal y local y, la inversión en la adquisición de nuevas unidades motos y patrullas. Los índices delictivos en general han disminuido de manera considerable, alrededor de un 70%,  pero mientras más seguridad tengamos mejor y, como pueden ver, este sistema de cámaras va a garantizar más el resguardo y protección de los residentes de quienes vengan a visitarnos. Este sistema innovador de cámaras de seguridad cuenta con detección facial y de placas de vehículos, lo que permite que si un vehículo comete un delito en cualquier parte del país e ingresa al municipio de inmediato será detectado. Así mismo, la detección facial, si hay una denuncia de algún presunto delincuente que este identificado con algunas características de vestimenta, se ingresan los datos al sistema y de inmediato, podemos ubicar donde puede estar o por donde entro o salió del municipio Chacao. Este es un sistema escalable, iniciamos con aproximadamente 100 cámaras instaladas en los corredores viales, las principales entradas y salidas del municipio y los lugares donde hay mayor movimiento comercial y vecinal. A partir del mes de enero continuaremos colocando cámaras, para llevar este sistema a unas 200 cámaras, con la finalidad de cubrir todo el municipio y que estén en cada calle, urbanización y sector popular de Chacao. En el acto de inauguración me acompañaron el Director de Seguridad Ciudadana, Luis Gonzalo Fernández, el Director del Centro Integral de Seguridad Ciudadana (CISEC), Supervisor Jefe Luis Arellano, la Directiva de la Policía Municipal de Chacao, concejales, presidentes de asociaciones de vecinos, directores de gestión municipal, líderes vecinales, el equipo de Seguridad Ciudadana, funcionarios de la Policía Municipal de Chacao, Salud Chacao y Protección Civil Chacao.Seguimos trabajando junto a nuestra Fuerza Vecinal por VenezuelaGustavo DuqueAlcaldearticulosalcaldegustavoduque@gmail.com",Chacao cuenta con innovador Centro Integral de Seguridad Ciudadana,http://www.eluniversal.com/el-universal/145037/chacao-cuenta-con-innovador-centro-integral-de-seguridad-ciudadana,eluniversal,www.eluniversal.com,7,271
7bd56babc403e62f92d5dcb883fba0ba,"París.- La histórica clasificación de Marruecos para semifinales del Mundial de Qatar fue festejada por unas 20.000 personas en el sector de los Campos Elíseos de París, donde hubo diversos incidentes que se saldaron con 42 personas arrestadas según el último balance de la Policía.Un fuerte dispositivo policial con 1.220 agentes fue desplegado en la zona con motivo de los dos partidos de cuartos final de este sábado, entre Marruecos y Portugal y Francia contra Inglaterra, destacó Efe.Los festejos iniciales dieron lugar a algunos disturbios, como la quema de dos motos en las calles adyacentes a la turística avenida de los Campos Elíseos.Marruecos se convirtió en el primer país africano que alcanza las semifinales de un Mundial de fútbol, donde se medirá contra Francia, que busca su segunda final consecutiva. Información de Efe.",Detenidas 42 personas en París por incidentes tras ganar Marruecos en Qatar,http://www.eluniversal.com/internacional/145063/detenidas-42-personas-en-paris-por-incidentes-tras-ganar-marruecos-en-catar,eluniversal,www.eluniversal.com,8,67
ca3b28a8d4fd44bec155ce9baca8fb53,"Londres.- El príncipe Enrique, hijo menor de Carlos III, y su esposa Meghan fustigan el ""contrato no escrito"" entre la familia real y una prensa británica que los ""explota"", en un controvertido documental estrenado el jueves que también denuncia un racismo latente.""No se nos había permitido contar nuestra historia porque ellos no querían"", afirma la exactriz estadounidense, de 41 años, en uno de los primeros tres episodios de la serie documental ""Harry & Meghan"" difundidos por Netflix.""No se nos permite, siempre ha sido así, hasta ahora"", agregan juntos, explicando como ya desde su primera entrevista conjunta, el 27 de noviembre de 2017, tras el anuncio de su compromiso, todas sus declaraciones y comportamiento fueron ""un reality show orquestado"" por el palacio.""La jauría de corresponsales reales es esencialmente una rama extendida de las relaciones públicas de la familia real, un acuerdo que ha existido durante más de 30 años"", afirma Enrique, de 38 años, que sigue considerando a la prensa sensacionalista responsable de la muerte de su madre, la princesa Diana, en 1997, cuando era perseguida por los paparazzi.""Esta familia es nuestra para explotarla, su trauma es nuestra historia y controlamos la narrativa"" piensan los medios británicos según ese ""contrato no escrito"", agrega el príncipe, señalando una campaña de publicidad negativa contra ellos cuando se resistieron a un acoso que se extendió a los amigos y familiares de Meghan en Estados Unidos. ""Prejuicios inconscientes"" La serie comienza con la historia de amor entre el príncipe y la actriz, una ferviente feminista mestiza criada en el relajado desenfado de Hollywood, y avanza en sus primeros tres capítulos hasta la víspera de su boda en mayo de 2018.Los próximos tres episodios, que aparecerán el 15 de diciembre, se prevén más dañinos para la familia real, por incluir detalles sobre los motivos que llevaron a la pareja a abandonar la monarquía en 2020 para irse a vivir a California.Apenas recuperada de la muerte de Isabel II en septiembre, la realeza se prepara así para acusaciones potencialmente explosivas en un momento en que busca modernizar su imagen, impulsada por los nuevos monarcas Carlos III y Camila, y sus herederos Guillermo y Catalina.El Palacio de Buckingham no hizo comentarios antes del estreno de la serie pero fuentes de la casa real citadas por el diario Daily Mail aseguraron este fin de semana que los monarcas están ""un poco hastiados"" de los constantes ataques.En esta primera entrega ya se alude al racismo que Meghan denuncia haber sufrido, desde el broche con una cabeza de negro lucido por la esposa de un primo de Isabel II en la primera cena de Navidad con la actriz en 2017 hasta imágenes y comentarios sobre el pasado colonial del imperio británico. ""Hay un altísimo nivel de prejuicios inconscientes"", afirma Enrique, que dice que tuvo que corregir la educación que recibió siendo niño. ""Mucho dinero y dar su versión"" Esto llega en el peor momento para la familia real británica, sacudida la semana pasada por un escándalo de racismo por parte de una madrina de Guillermo, que tuvo que dimitir como dama de honor tras hacer comentarios ofensivos a una invitada negra en el Palacio de Buckingham.En una impactante entrevista el año pasado con la estrella de la televisión estadounidense Oprah Winfrey, Enrique y Meghan ya habían acusado a un miembro de la familia real que no citaron de inquietarse por el color de piel que tendrían sus futuros hijos.La serie, con testimonios de amigos y colaboradores de la pareja pero sin ninguno de sus críticos, explica por ejemplo como la excolonia británica de Jamaica fue el centro de una muy rentable trata de esclavos, cuyos barcos estuvieron financiados durante siglos por los reyes ingleses y cuyos beneficios permitieron construir el ""mayor imperio que haya visto el mundo"".La impopularidad de los duques de Sussex en el Reino Unido, donde se los acusa de sacar provecho financiero de la monarquía sin participar de sus obligaciones, no parece que vaya a mejorar con este documental.""Son hipócritas, por un lado dicen que quieren privacidad y por el otro miren lo que publican"", dijo a la AFP el comentarista real Richard Fitzwilliams, que ha trabajado para medios como la británica BBC y la estadounidense CNN.En su opinión ""lo hacen por dos razones: ganar mucho dinero y dar su versión, como una forma de venganza"". Pero no se dirigen al público británico sino ""al mundo entero con Estados Unidos en el centro"", considera.","""Harry & Meghan"" fustiga a la prensa británica, la familia real y el racismo",http://www.eluniversal.com/sociales/144857/harry-meghan-fustiga-a-la-prensa-britanica-la-familia-real-y-el-racismo,eluniversal,www.eluniversal.com,8,364
3aedef7d2b490a690e1d1eb01bb03f71,"Nueva York, Estados Unidos.- Twitter prevé lanzar el lunes un nueva oferta de suscripción, que será mas cara  para usuarios de dispositivos Apple, que incluye un sistema de autenticación de cuentas en la plataforma. ""Estamos relanzando @TwitterBlue el lunes: suscríbanse en la web por 8 dólares al mes o en iOS (el sistema operativo de Apple que se usa en iPhone, ndlr) por 11 dólares al mes para obtener acceso a funciones exclusivas para suscriptores, incluyendo la insignia azul de verificación"", publicó el grupo en un tuit el sábado, destacó AFP.La insignia azul se otorgará después de la verificación, precisó la compañía. Esta marca será de color dorado para las empresas y más adelante en la semana de color gris para organizaciones gubernamentales. Quienes se suscriban accederán a la función para editar tuits después de publicados o para descargar videos de mayor calidad. ""Gracias por su paciencia mientras trabajamos por mejorar Blue"", escribió la plataforma en su cuenta oficial, anunciar essgta decisión que tuvo marchas y contramarchas. Después de adquirir Twitter a finales de octubre, Elon Musk había anunciado su intención de lanzar un modelo de pago para diversificar los ingresos de la red social, cuya salud financiera depende en buena parte de sus ingresos publicitarios. Antes de la compra de Musk, la plataforma otorgaba insignias de verificación gratuitas para organizaciones e individuos, y ofrecía una suscripción paga para acceder a funcionalidades adicionales.",Twitter relanzará el lunes su suscripción que incluye la insignia azul,http://www.eluniversal.com/tecnologia/145062/twitter-relanzara-el-lunes-su-suscripcion-que-incluye-la-insignia-azul,eluniversal,www.eluniversal.com,7,131
d863b5705b4497f64d45a09075a4a7ee,"Caracas.- Este sábado 10 de diciembre, Fonseca logró hacer vibrar al Centro Ciudad Comercial Tamanaco (CCCT) al ritmo del pop y el vallenato en una emotiva y romántica noche.La noche del evento inició a las 7 p.m. con la presentación del grupo Trabuco Contrapunto que al ritmo de su música entretuvo a los asistentes del concierto.Otra de las presentaciones de las noches fue Joaquina, hija de la Camila Canaval.El cantante colombiano inició el concierto con su nuevo tema “En Vivo y Directo”, un contagioso vallenato de su más reciente álbum, el noveno de su carrera. Siguió con sus populares canciones “Háblame bajito”, “Vine a buscarte”, “Entre mi vida y la tuya”, “Enrédame”, “Desde que no estás”, entre otras. ""La música venezolana ha sido una inspiración"" estos fueron una de las palabras del colombiano al momento de presentar a Joaquina con quien cantó ""Te mando flores"".""Siento este país en el corazón y a esta ciudad como propia. Hoy le quiero hacer un homenaje a mi Ciudad. Salud por la música de este país"", señaló.El cantautor ofreció aparte canciones de Montaner, Desorden Público, Franco de Vita, donde indicó que fueron las canciones que escuchaba mientras se encontraba en Caracas grabando su primer disco.""El sindrome de Caracas es que uno no se quiere ir"", expresó.Hasta las 12 de la noche fue la extraordinaria presentación del compositor, sin dejar momento para descansar a la audiencia con sus ritmos maravillosos.Fonseca cerró su concierto con sus canciones de ""Te mando flores"" y ""Sueño"", luego agradecido a Caracas y deseó que se repita el próximo año otro concierto en Venezuela.",Fonseca enamoró a Caracas: El síndrome de Caracas es que uno no se quiere ir,http://www.eluniversal.com/entretenimiento/145078/fonseca-enamoro-a-caracas-el-sindrome-de-caracas-es-que-uno-no-se-quiere-ir,eluniversal,www.eluniversal.com,7,126
d890afed8fc84fba9251788749937193,"La desaparición de dos menores de edad, un niña y una adolescente, fue publicada en  página de la Interpol en internet con la intención de difundir entre la mayor cantidad de personas el interés de las autoridades en hallar a las dos menores perdidas en Caracas y Valencia, respectivamente. La primera alerta amarilla fue emitida a nombre de Ashley Rachell Rincón Pacheco, de cuatro años de edad, quien se encuentra desaparecida desde el pasado 14 de septiembreAshley se perdió en Caracas. La niña tiene las siguientes características físicas, es de cabello castaño, ojos castaños oscuro, mide un metro de altura y pesa 25 kilos de peso.La pequeña es buscada por sus padres, Richard Williams Rincón Calderón y Jeniffer Marisela Pacheco Istúriz La otra alerta amarilla fue emitida a nombre de Adriana Valentina Méndez Aguilera, de 16 años de edad, quien se encuentra desaparecida desde el pasado 8 de febrero.La joven de cabellos y ojos castaños oscuros se perdió en la ciudad de Valencia en febrero pasado, cuando tenía 15 años.Sus padre Carlos Adrián Méndez Zambrano y Liliana del Valle Aguilera de Méndez la buscan y esperan reencontrarse con ella pronto.LeyendaAshley Rachell Rincón Pacheco (4) y Adriana Valentina Méndez Aguilera (16)",Interpol busca a dos menores perdidas,http://www.eluniversal.com/sucesos/144747/interpol-busca-a-dos-menores-perdidas,eluniversal,www.eluniversal.com,5,109
7240daae6162004097c0733a19bd5d9a,"Caracas.- El presidente del Instituto Autónomo de Transporte de Caracas (Intrac), G/B Miguel Gallegos, inspeccionó este jueves el protocolo de acceso a las instalaciones del Terminal de pasajero La Bandera, con miras al Operativo de Navidad 2022.A través de su cuenta en Instagram, el Intrac informó que en compañía de efectivos de los organismos de seguridad que resguardan la terminal terrestre, se realizó la verificación de las áreas de acceso y salida de pasajeros y trabajadores.Al mismo tiempo, detalló en la red social, que en la inspección se verificaron los avances de los trabajos de mantenimiento en áreas internas y externas, para comprobar la optimización del servicio, que se presta a quienes a diario acuden al terminal y para aquellos que harán uso de las instalaciones en la zafra decembrina.Según información de la Alcaldía de Caracas, la estación de buses, moviliza a 10.000 personas por día, en las rutas de las líneas que tienen como destinos la zona occidental y andina del país.",Inspeccionan terminal de pasajeros La Bandera para garantizar seguridad de usuarios,http://www.eluniversal.com/caracas/144944/inspeccionan-terminal-de-pasajeros-la-bandera-para-garantizar-seguridad-de-usuarios,eluniversal,www.eluniversal.com,7,77
cf072214062651b77e9fc92865abd118,"Este domingo prevalece un cielo con escasa nubosidad en buena parte del país, según el reporte del Instituto Nacional de Meteorología e Hidrología (Inameh).De acuerdo a lo reseñado por Inameh en la red social Twitter, se prevé sobre la línea costera de Falcón, Carabobo, Aragua, Miranda, La Guaira, Nueva Esparta y Sucre nubosidad estratiforme con posibles lloviznas dispersas en horas de la mañana.#11Dic #INAMEHInforma Condiciones Meteorológicas próximas 24 Horas #FelizDomingo pic.twitter.com/HA8M5uSm3h— INAMEH (@INAMEH) December 11, 2022 #11Dic #INAMEHInforma Precipitaciones Totales Estimadas #FelizDomingo pic.twitter.com/aLDeNrFPKr— INAMEH (@INAMEH) December 11, 2022 Inameh agregó que la Zona de Convergencia Intertropical se mantiene ligeramente activa al sur del país, generando algunos núcleos convectivos productores de lluvias o chubascos, especialmente después del mediodía, en áreas del Zulia, Los Andes, Amazonas, Bolívar, Delta Amacuro y el Esequibo.Durante la mañana se esperan escasas nubes, alternando con nubosidad estratiforme y algunas lloviznas dispersas sobre la línea costera de La Guaira y Miranda.",Inameh: Prevalece cielo con escasa nubosidad este domingo en Venezuela,http://www.eluniversal.com/venezuela/145073/inameh-prevalece-cielo-con-escasa-nubosidad-este-domingo-en-venezuela,eluniversal,www.eluniversal.com,7,94
a01f00137018734e8070060f765304e2,"Un sismo de magnitud 6 activó este domingo la alerta sísmica en el centro de México.El terremoto ocurrió a las 8.31 (14.31 GMT) con epicentro 17 kilómetros al sur de Tecpan de Galeana, en el estado de Guerrero, sur de México, destacó Efe. En Ciudad de México el sismo se dejó sentir, por lo que cientos de miles de ciudadanos salieron de sus casas y departamentos a zonas de seguridad y resguardo. Tras lo ocurrido, el presidente de México, Andrés Manuel López Obrador, confirmó la magnitud y el epicentro en la costa del estado de Guerrero.El primer reporte es que tembló en la Costa Grande de Guerrero, en Técpan, magnitud 6. Está aplicándose el plan de Protección Civil. Informaremos pronto.— Andrés Manuel (@lopezobrador_) December 11, 2022Con información de Efe",Un sismo de magnitud 6 activa la alerta sísmica en México,http://www.eluniversal.com/internacional/145086/un-sismo-de-magnitud-6-activa-la-alerta-sismica-en-mexico,eluniversal,www.eluniversal.com,6,64
e7966095e7e42bbf2b1d6a4aafed670e,"Caracas.- La vicepresidenta ejecutiva de la República, Delcy Rodriguez, informó que han trazado un conjunto de acciones en defensa del mercado cambiario y la tasa oficial, emitida por el Banco Central de Venezuela. A través de su cuenta en Twitter, la funcionaria señaló que “en atención a las instrucciones del presidente de la República Bolivariana de Venezuela, Nicolás Maduro hemos trazado, junto al Vicepresidente sectorial de Economía, Tareck El Aissami, y el equipo económico, un conjunto de acciones en defensa del mercado cambiario y la tasa oficial, perturbados por el dólar criminal especulativo. Venezuela seguirá creciendo!”.En atención a las instrucciones del Pdte @NicolasMaduro hemos trazado, junto al VicePdte de Economía @TareckPSUV y el equipo, un conjunto de acciones en defensa del mercado cambiario y la tasa oficial, perturbados por el dólar criminal especulativo. Venezuela seguirá creciendo! https://t.co/tdHu6NhKIr— Delcy Rodríguez (@delcyrodriguezv) December 10, 2022La funcionaria destacó el crecimiento del sistema financiero nacional, según el reporte presentado a través de twitter, en lo que va de 2022 el país incrementó sus depósitos en un 210% y su cartera de crédito en  420%.Es importante destacar que el sistema financiero, a pesar del criminal bloqueo, ha crecido considerablemente en el año 2022 incrementando sus depósitos en un 210% y su cartera de crédito en un 420%. Quienes atacan la economía venezolana están destinados al fracaso!— Delcy Rodríguez (@delcyrodriguezv) December 10, 2022Cabe recordar que esta semana, el Ejecutivo Nacional acordó retomar, luego de dos años, una política de control de precios en más de 40 productos de consumo masivo para luchar contra la “especulación” que, a juicio del presidente Nicolás Maduro, disparó la inflación y afectó el mercado cambiario.",Gobierno Nacional establece nuevas acciones en defensa del mercado cambiario y la tasa oficial,http://www.eluniversal.com/economia/145025/gobierno-nacional-establece-nuevas-acciones-en-defensa-del-mercado-cambiario-y-la-tasa-oficial,eluniversal,www.eluniversal.com,10,149
