body,title,url
"El Gobierno se enfrenta a una de las semanas más delicadas de su tormentoso mandato. El PSOE está muy inquieto por la reforma de la malversación, y María Jesús Montero ha llamado uno a uno a casi todos los barones autonómicos para garantizarles que los políticos que han desviado fondos públicos con ánimo de lucro no se beneficiarán de esta reforma. Pero ahora todos quieren ver cómo se cumplirá esa promesa. Félix Bolaños trabaja con su equipo jurídico en una compleja negociación con Unidas Podemos y ERC; un esquema similar al de la sedición, para presentar el lunes una enmienda transaccional que, según fuentes del Gobierno, dará la vuelta a la enmienda de ERC con un fin muy claro: que no queden, bajo ningún concepto, despenalizadas las conductas de los líderes independentistas durante el procés.",Sánchez cambiará el plan de ERC pero rebajará la pena por malversación,https://elpais.com/espana/2022-12-11/sanchez-cambiara-el-plan-de-erc-pero-rebajara-la-pena-por-malversacion.html
"A pocas semanas de dar la bienvenida a un nuevo año, desde El País Escaparate hemos elaborado la siguiente comparativa con el propósito de elegir, según nuestro criterio, el mejor teléfono móvil de gama media de este año; un nicho de mercado que como hemos comentado en pasadas ocasiones es clave para los fabricantes. A este respecto, el trabajo realizado en estos doce últimos meses ha dado buenos resultados no solo en términos de calidad de imagen o autonomía donde la tecnología de carga rápida se consolida.",Los mejores móviles de gama media de 2022,https://elpais.com/escaparate/2022-12-09/los-mejores-moviles-de-gama-media-de-2022.html
"Los turistas han vuelto en masa a las playas y los centros comerciales de las Canarias, y los hoteleros han vuelto a llenar habitaciones que estuvieron vacías durante meses. Los aeropuertos de las islas van a registrar, según los datos de Aena, 12.086 operaciones (6.557 nacionales y 5.529 internacionales) entre el 2 y el 11 de este mes. En 2019, antes de la pandemia, los aeropuertos registraron en el puente de la Constitución (desde el 29 de noviembre al 8 de diciembre) 11.021 operaciones (6.240 nacionales y 4.781 internacionales).",Más turistas y menos rentabilidad en Canarias,https://elpais.com/economia/2022-12-10/mas-turistas-y-menos-rentabilidad-en-canarias.html
"Los Premios Ortega y Gasset de Periodismo abren la convocatoria para su edición número 40. Se pueden presentar trabajos publicados originalmente en español en 2022. Los galardones, otorgados por EL PAÍS, se dividen en cuatro categorías: Mejor historia o investigación periodística, Mejor cobertura multimedia, Mejor fotografía y Trayectoria profesional. La inscripción se pude realizar en la página web de los premios hasta el 31 de enero.",Abierta la convocatoria de la 40ª edición de los Premios Ortega y Gasset de Periodismo,https://elpais.com/comunicacion/el-pais-que-hacemos/2022-12-04/abierta-la-convocatoria-de-la-40-edicion-de-los-premios-ortega-y-gasset-de-periodismo.html
"“A veces, busco un libro y tardo menos en comprarlo que en encontrarlo aquí”. La biblioteca de Juan José Millás (Valencia, 1946) es el mejor reflejo de su personalidad. Cientos de libros se distribuyen caóticamente por su buhardilla. Como estalagmitas de diferentes alturas que nacen del suelo y de las mesas que, a veces, hacen imposible el paso. “Es una biblioteca que me acoge, pero que me provoca también cierta desazón. Siempre he sido un lector desordenado porque siempre he leído en función de mi estado de ánimo. Cuando hay mucha presión mediática sobre un libro me resisto a leerlo porque siento que lo hago por obligación”, reconoce el novelista en el vídeo de la entrevista.",En la biblioteca de Juan José Millás: “He leído con más pasión que con la que he vivido”,https://elpais.com/videos/2022-12-09/en-la-biblioteca-de-juan-jose-millas-he-leido-con-mas-pasion-que-con-la-que-he-vivido.html?autoplay=1
"Para muchos, la situación comenzó con la cancelación de una cita con el médico, la renuncia a comprar ropa para sus hijos o a visitar a sus familiares por el coste del transporte. Todo para pagar las facturas más urgentes. Rápidamente, se vieron obligados a recortar gastos en alimentación, a reducir su calidad, cantidad, hasta llegar a saltarse una que otra comida. Y, aunque trabajen y reciban un salario, hoy se encuentran haciendo cola en los bancos de alimentos para dar de comer a sus hijos.",Gravar las superganancias para ganar la batalla de la inflación y defender los derechos humanos,https://elpais.com/planeta-futuro/red-de-expertos/2022-12-11/gravar-las-superganancias-para-ganar-la-batalla-de-la-inflacion-y-defender-los-derechos-humanos.html
"Ya nadie tiene dudas de que Messi es hoy el caudillo de la Albiceleste después de chequear las jugadas, las imágenes y las voces que ha dejado el partido que Argentina disputó y ganó en los penaltis contra Países Bajos. Nunca se había visto a un jugador tan argentinizado y hasta cierto punto maradoniano, al menos a ojos de Europa, que estaba acostumbrada a un futbolista formal y callado, educado en la exquisita academia del Barça, vecino de la playa de Castelldefels y en el último año compañero de Neymar y Mbappé en la acaramelada París. Incluso puede que su estruendosa actuación en el partido de cuartos de final sorprendiera también a Argentina.",Messi: caudillo de Argentina,https://elpais.com/deportes/mundial-futbol/2022-12-11/messi-caudillo-de-argentina.html
"Las vidas se habían prolongado mucho, es cierto, pero eso no significaba que las personas no murieran. En esos tiempos, cada día se morían en el mundo alrededor de 180.000 individuos: es difícil imaginar el drama único como algo tan repetido, tan poco original. Pero esa cantidad significaba que cada año no llegaba a morirse una de cada cien personas; en 1970 eran dos de cada cien. En 2020 se morían pero se morían menos y más tarde, y esa fue una de las causas principales por las que en ese medio siglo se duplicó la población del mundo. La razón de sus muertes era otro canto a la desigualdad: en los países ricos nueve de cada diez personas se morían por enfermedades relacionadas con la edad; en los países pobres, solo seis de cada diez morían de viejos (ver cap.5).",La muerte y sus variantes,https://elpais.com/cultura/2022-12-10/la-muerte-y-sus-variantes.html
"Supongo que aquellos que no pueden vivir sin banderas estarán de luto por el desastre de la selección española. A mí me da igual. Soy un ventajista que solo disfruta con la excelencia y es muy raro encontrarse con ella en este aburrido Mundial, en ese inmenso y hediondo negocio que inflama de gozo a la clientela, que otorga pasión a tantas existencias prosaicas. De cualquier forma, me supone un alivio no contemplar durante una temporada el careto de Luis Enrique, ese señor tan injustificadamente arrogante como carente de la mínima gracia.",Negros,https://elpais.com/television/2022-12-10/negros.html
"¿Cuándo fue la última vez que descubrió algo en internet? Algo realmente nuevo que no oliera a déjà vu, una auténtica sorpresa. Quizás, ya hace mucho tiempo porque nos movemos en territorios tomados por un poder al que llamaremos genéricamente algoritmo, que nos ha convertido en seres reiterativos y previsibles, en bucles de repetición. Exactamente, así como son ellos.","Ansiedad algorítmica: ya no vemos lo que queremos, sino lo que nos enseñan",https://elpais.com/ideas/2022-12-09/ansiedad-algoritmica-ya-no-vemos-lo-que-queremos-sino-lo-que-nos-ensenan.html
"Laura Verónica Rosales está en la antesala de la muerte. El cuerpo sigue vivo, pero su cerebro se apagó el miércoles. La joven, de apenas 30 años, está en un limbo existencial, legal y estadístico: hasta que no se pueda certificar oficialmente como una defunción, Rosales no integrará la lista de decesos por el brote de meningitis aséptica que tiene en vilo a Durango desde mediados de octubre. Si nadie se le adelanta, será la persona número 24 en fallecer por la enfermedad, —hasta el momento van 22 mujeres y un hombre—, que se originó en cuatro clínicas privadas de la ciudad. “Mi hija duró dos semanas bien, platicábamos, comía, le daban tratamiento… Pero hace 14 días tuvo un derrame. Antier le diagnosticaron muerte cerebral. Ya solo tiene un ventilador y un medicamento para controlar la presión”, cuenta Enrique Rosales (49 años), su padre, entre dos tráileres que ofrecen alimentos, ropa y apoyo psicológico a las puertas del Hospital General 450, el centro público que se ha convertido en el epicentro de la lucha contra la meningitis.","El inédito brote de meningitis aséptica en Durango: “Como padre ya no pienso qué muchacha se va a salvar, sino cuál se va a morir”",https://elpais.com/mexico/2022-12-11/durango-ante-un-brote-de-meningitis-inedito-en-la-historia-como-padre-ya-no-pienso-que-muchacha-se-va-a-salvar-sino-cual-se-va-a-morir-manana.html
"Se acercan las celebraciones navideñas y, con ellas, las reuniones con la familia y los amigos, las comidas copiosas, los villancicos y los regalos. Pero, además, estas fechas también traen una importante lista de dudas en el terreno laboral. Cuál es el importe de la paga extraordinaria de Navidad y qué ocurre si se retrasa; si puede la empresa dejar de entregar la cesta de Navidad o si una disputa en la cena prenavideña puede implicar una sanción laboral. Estas son algunas de las cuestiones que, según los abogados laboralistas, surgen en esta época de festividades.",Ojo con lo que hace en la cena de Navidad de la empresa: su jefe puede sancionarle,https://elpais.com/economia/negocios/2022-12-11/ojo-con-lo-que-hace-en-la-cena-de-navidad-de-la-empresa-su-jefe-puede-sancionarle.html
"Hace apenas dos años los puestos de la Guardia Civil de pueblos de Guadalajara y Toledo comenzaron a recibir llamadas inusuales: “Una madre desesperada porque su hijo, menor de edad, no había vuelto a casa y no contestaba al teléfono móvil en varios días”; “directores de institutos que alertaban de que los chavales, menores, no entraban en clase y se quedaban en parques cercanos”; “una denuncia por una lesión de un machete en la cabeza de un chiquillo en la parada del autobús”; “una madre que avisa de que tres jóvenes han agredido a su hija en su propia casa, después de lanzar piedras a la vivienda”… Las investigaciones de aquellos hechos, diseminados por pueblos de ambas provincias limítrofes con Madrid, tenían un denominador común: bandas juveniles.",La violencia de las bandas juveniles se expande a Guadalajara y Toledo desde Madrid,https://elpais.com/espana/2022-12-11/la-violencia-de-las-bandas-juveniles-se-expande-por-la-periferia-con-las-vias-del-tren.html
"Los colegios volvieron a abrir este viernes después de un largo puente, pero William Bonilla no regresó a su aula en el centro Comunidad Infantil de Villaverde, en Madrid, porque cinco días antes había sido asesinado a tiros a solo unos metros de allí, justo frente al portal de su casa. Los profesores reunieron toda la fuerza posible para gestionar el que, sin duda, ha sido su peor día de trabajo. Una jornada en la que tuvieron que lidiar junto con sus alumnos con una despedida a la que ninguno encuentra sentido, la de un adolescente de 15 años al que descerrajaron dos disparos sin mediar palabra. La policía investiga lo que todo apunta a una venganza de bandas juveniles cuya violencia ha dejado este año, al menos, cinco víctimas mortales en la ciudad.",Una semana de luto e interrogantes en la plaza de Villaverde en la que fue tiroteado William,https://elpais.com/espana/madrid/2022-12-11/una-semana-de-luto-e-interrogantes-en-la-plaza-de-villaverde-en-la-que-fue-tiroteado-william.html
"Los líderes de Francia, España y Portugal se reunirán este viernes en paralelo a la Cumbre Euromediterránea para debatir el futuro del H2Med, antes conocido como BarMar, la pieza central del llamado “corredor de energía verde” para ayudar a Europa a superar la crisis energética. A pesar de su nombre, nuestro análisis en el Instituto de Economía Energética y Análisis Financiero (IEEFA) nos lleva a creer que el H2Med es un proyecto de gas disfrazado y con un futuro incierto.",H2Med: ¿un gasoducto disfrazado?,https://elpais.com/clima-y-medio-ambiente/2022-12-09/h2med-un-gasoducto-disfrazado.html
"En la novela Los millones (2010, editada por Blackie Books), el escritor Santiago Lorenzo planteaba la premisa de un miembro del GRAPO al que le tocaba la Primitiva pero no podía cobrarla, al no tener DNI. Aunque este caso es de ficción, la suerte es lo suficientemente caprichosa para ofrecer contrapartidas igual de rocambolescas en la vida real. En vísperas de la temporada navideña y, por tanto, de la Lotería de Navidad y del Niño, mientras muchos fantasean con que su décimo sea premiado y ya ensayan ante el espejo del baño cómo dirán a las cámaras de televisión que van a usar el dinero en “tapar agujeros”, otros pueden moderar su entusiasmo repasando algunas historias de desgraciados triunfadores a los que el destino, supuestamente, les sonrío para después hacerles trizas.","Cuando la lotería trae un giro inesperado: siete historias curiosas, divertidas o trágicas sobre lo que puede ocurrir si te vuelves millonario",https://elpais.com/icon/2022-12-11/cuando-la-loteria-trae-un-giro-inesperado-siete-historias-curiosas-divertidas-o-tragicas-sobre-lo-que-puede-ocurrir-si-te-vuelves-millonario.html
"El 7 de diciembre el presidente Pedro Castillo realizó un autogolpe de Estado en el Perú. Al cerrar el Congreso de la República antes de que este votara por su vacancia, cometió un acto inconstitucional. No está claro qué le llevó a tomar estas medidas extremas, ya que en un corto tiempo quedó claro que no tenía apoyo de las Fuerzas Armadas, ni de la población. Después que el Congreso votara su vacancia, y las Fuerzas Armadas señalaran que sus acciones no seguían el orden constitucional, la vicepresidenta Dina Boluarte asumió la presidencia, convirtiéndose en la primera presidenta de la historia peruana y la sexta mandataria que el país tiene en cinco años.",El colapso de las precariedades en el Perú,https://elpais.com/opinion/2022-12-11/el-colapso-de-las-precariedades-en-el-peru.html
"No hay más que mirar alrededor, en el trabajo, en la calle o en casa, para encontrar a alguien cercano o conocido con dolor de cabeza, un ataque de tos, enganchado al clínex o rebosante de mocos. Corren buenos tiempos para los catarros y las infecciones respiratorias. Todas las variables que alientan estos incómodos —y, a veces, peligrosos— cuadros respiratorios, se han alineado en una especie de tormenta perfecta: hay más virus circulando y menos protección individual. Ha llegado el frío, que merma la capacidad protectora de las mucosas nasales contra los virus comunes; el uso de mascarillas o la limitación de encuentros sociales se han suavizado, y, además de la covid, que sigue infectando sin descanso, la gripe y el virus respiratorio sincitial, tradicionales del invierno, se han adelantado y ya han asaltado las calles. Según los datos del Instituto de Salud Carlos III, la tasa de infecciones respiratorias agudas en la semana 48 de 2022 (la última de noviembre) fue de 845 casos por 100.000 habitantes; en la misma semana del año pasado era de 417.",¿Por qué todo el mundo está resfriado? Los virus respiratorios toman la calle,https://elpais.com/salud-y-bienestar/2022-12-10/por-que-todo-el-mundo-esta-resfriado-los-virus-respiratorios-toman-la-calle.html
"Este lunes a las 12.30, en la Ciudad de Fútbol de Las Rozas, va a ser presentado Luis de la Fuente, nuevo seleccionador de España. La Real Federación Española de Fútbol lo eligió para sustituir a Luis Enrique tras la derrota contra Marruecos en octavos de final. Precisamente Marruecos, aclamada por la multitud que llena los estadios de Doha, rompió ayer sábado la barrera que separaba a los equipos de África de las semifinales de la Copa del Mundo. Lo hizo ante Portugal, que contaba con una de las plantillas más fuertes del torneo. En París, durante las celebraciones por el pase a semifinales del país magrebí, han sido detenidas de madrugada 108 personas y 19 miembros del personal de seguridad resultaron heridos leves. Este domingo no hay encuentros, las semifinales se disputan el martes (Croacia-Argentina a las 20.00) y el miércoles (Marruecos-Francia a las 20.00). Según publica Le Parisien este domingo, el seleccionador francés, Didier Deschamps, seguirá hasta la Eurocopa de 2024 después de que Francia se clasificase ayer para semifinales al vencer a Inglaterra.","Mundial de Qatar 2022, ultimas noticias en directo |  Más de un centenar de detenidos en París durante las celebraciones del pase de Marruecos a semifinales",https://elpais.com/deportes/mundial-futbol/2022-12-11/resumen-y-ultimas-noticias-del-mundial-de-qatar.html
"En La Ferté-sous-Jouarre, a una hora de París, Marco Martella (Roma, 60 años) ha plantado por fin muchos árboles. Habla del jardín desde el jardín de la casa que comparte con Pascal, su pareja desde hace 33 años. La entrevista sucede en movimiento: buscando las vistas o el sol y persiguiendo a sus heterónimos: el islandés Jorn de Précy —que firmó El jardín perdido— y el bosnio Teodor Cerić, que escribió, de mano de Martella, Jardines en tiempos de guerra.",Marco Martella: “Las infelicidades del hombre vienen de creerse capaz de controlar la naturaleza”,https://elpais.com/eps/2022-12-09/marco-martella-las-infelicidades-del-hombre-vienen-de-creerse-capaz-de-controlar-la-naturaleza.html
"Tras el enésimo retraso, Elon Musk vuelve a intentar lanzar su suscripción a Twitter que da derecho a una marca de verificación azul este lunes, según ha anunciado la compañía. Twitter Blue costará 8 dólares mensuales para quienes se den de alta a través de su web y 11 para quienes lo hagan a través de la tienda de aplicaciones de Apple, la que se usa en los iPhones y los iPads, para compensar la comisión que se lleva la mayor empresa del mundo por las compras que canaliza. En paralelo, Musk ha dicho que aumentará la longitud de los mensajes de Twitter de 280 a 4.000 caracteres, pero como con frecuencia ocurre con el magnate, no se sabe si será así ni cuándo.","Elon Musk lanza el lunes de nuevo la suscripción a Twitter, a 8 dólares en su web y a 11 en Apple",https://elpais.com/tecnologia/2022-12-11/elon-musk-lanza-el-lunes-de-nuevo-la-suscripcion-a-twitter-a-8-dolares-en-su-web-y-a-11-en-apple.html
"En plena guerra civil española, entre 1938 y 1939, el jefe de los servicios psiquiátricos del ejército de Franco, Antonio Vallejo Nájera, publicó varios informes en la Revista Española de Medicina y Cirugía de Guerra explicando la raíz del fanatismo comunista. Como una herramienta más del esfuerzo bélico, el médico buscó entre prisioneros de guerra las taras físicas o psíquicas que pueden llevar a una persona al marxismo y concluyó que los enemigos de la patria eran las personas menos inteligentes de la sociedad. Aquellos “resultados científicos” sirvieron para arrancarles su humanidad.",¿Hay psiquiatría de izquierdas y de derechas?,https://elpais.com/salud-y-bienestar/2022-12-10/hay-psiquiatria-de-izquierdas-y-de-derechas.html
"El ataque con una granada aturdidora a una patrulla de reconocimiento de la misión de la Unión Europea en el norte de Kosovo ha elevado la tensión aún más en una zona caliente desde hace meses. El sábado por la noche, tras las manifestaciones de decenas de serbokosovares en el norte de Kosovo, que bloquearon carreteras y causaron disturbios en protesta por la detención de un expolicía serbokosovar, uno de los vehículos blindados de la patrulla de la UE (Eulex) fue agredido, aunque no hubo heridos, según un comunicado de la misión.",El ataque con una granada aturdidora a una patrulla de la UE eleva la tensión en Kosovo,https://elpais.com/internacional/2022-12-11/el-ataque-con-una-granada-aturdidora-a-una-patrulla-de-la-ue-eleva-la-tension-en-kosovo.html
"Una legión de millones de plantas se extiende en estos momentos por miles y miles de casas de todo el mundo. Están colonizando rincones de los hogares, oficinas, recepciones de hoteles, centros comerciales, cafeterías. Si alguien no ha visto todavía ninguna este año es que no ha podido salir de casa, porque es la planta estrella de la Navidad. Se trata de la archiconocida flor de Pascua (Euphorbia pulcherrima). Se la conoce por otros nombres populares como los de pascuero o poinsetia, haciendo referencia este último a su antiguo nombre botánico de Poinsettia pulcherrima. Se trata de una planta que desata amores y odios, muchos de estos últimos ligados más bien al periodo navideño en el que se comercializa y regala con fruición. Porque, objetivamente, es una especie espectacular, con una anatomía que no deja indiferente a nadie.",Flor de Pascua: cómo cuidar (y lograr que sobreviva) la planta estrella de las navidades,https://elpais.com/estilo-de-vida/2022-12-10/flor-de-pascua-como-cuidar-y-hacer-sobrevivir-a-la-planta-estrella-de-las-navidades.html
